facility_id,name,ward,query_tried,error
1410051023786,わかさと保育園,港北区,わかさと保育園 認定こども園 横浜市港北区 日本,
1410052003431,小規模保育事業ＭＩＲＡｉｏ新横浜,港北区,小規模保育事業ＭＩＲＡｉｏ新横浜 認定こども園 横浜市港北区 日本,
1410051025427,ウッズ保育園,港北区,ウッズ保育園 認定こども園 横浜市港北区 日本,
1410051024024,ブライト保育園横浜日吉,港北区,ブライト保育園横浜日吉 認定こども園 横浜市港北区 日本,
1410051024578,みらいく高田園,港北区,みらいく高田園 認定こども園 横浜市港北区 日本,
1410051019669,パレット保育園・大豆戸,港北区,パレット保育園・大豆戸 認定こども園 横浜市港北区 日本,
1410051025807,港北コスモス保育園,港北区,港北コスモス保育園 認定こども園 横浜市港北区 日本,
1410051026243,認定こども園岸根こども園（保育所部分）,港北区,認定こども園岸根こども園 認定こども園 横浜市港北区 日本,
1410051017218,森のエルマー保育園,港北区,森のエルマー保育園 認定こども園 横浜市港北区 日本,
1410051024602,はなまる保育園,港北区,はなまる保育園 認定こども園 横浜市港北区 日本,
1410051018638,まなびの森 日吉こども園,港北区,まなびの森 日吉こども園 認定こども園 横浜市港北区 日本,
1410052005030,聖愛クロス保育園 きくな,港北区,聖愛クロス保育園 きくな 認定こども園 横浜市港北区 日本,
1410051024487,みらいく日吉本町園,港北区,みらいく日吉本町園 認定こども園 横浜市港北区 日本,
1410051025591,スターチャイルド≪大倉山ナーサリー≫,港北区,スターチャイルド≪大倉山ナーサリー≫ 認定こども園 横浜市港北区 日本,
1410051026029,ララランド大倉山,港北区,ララランド大倉山 認定こども園 横浜市港北区 日本,
1410051015592,大倉山元気の泉保育園,港北区,大倉山元気の泉保育園 認定こども園 横浜市港北区 日本,
1410051017226,わおわお大倉山保育園,港北区,わおわお大倉山保育園 認定こども園 横浜市港北区 日本,
1410052005733,もしもしのほし日吉保育園,港北区,もしもしのほし日吉保育園 認定こども園 横浜市港北区 日本,
1410051024388,聖保育園第二,港北区,聖保育園第二 認定こども園 横浜市港北区 日本,
1410051026789,キッズラディ,港北区,キッズラディ 認定こども園 横浜市港北区 日本,
1410051027159,トゥインクルキッズ高田保育園,港北区,トゥインクルキッズ高田保育園 認定こども園 横浜市港北区 日本,
1410051025989,みらいく矢上園,港北区,みらいく矢上園 認定こども園 横浜市港北区 日本,
1410052003233,キッズパートナー日吉,港北区,キッズパートナー日吉 認定こども園 横浜市港北区 日本,
1410052005253,きゅーぴーるーむ大倉山園,港北区,きゅーぴーるーむ大倉山園 認定こども園 横浜市港北区 日本,
1410052003043,ピッコロ・グランデ新横浜,港北区,ピッコロ・グランデ新横浜 認定こども園 横浜市港北区 日本,
1410052005691,みらいこうほく保育園,港北区,みらいこうほく保育園 認定こども園 横浜市港北区 日本,
1410051015642,くっくおさんぽ保育園大倉山,港北区,くっくおさんぽ保育園大倉山 認定こども園 横浜市港北区 日本,
1410052004371,くじら保育園,港北区,くじら保育園 認定こども園 横浜市港北区 日本,
1410052004868,グローバルキッズ綱島ＳＳＴ保育園,港北区,グローバルキッズ綱島ＳＳＴ保育園 認定こども園 横浜市港北区 日本,
1410051027126,日吉ちとせ保育園,港北区,日吉ちとせ保育園 認定こども園 横浜市港北区 日本,
1410052005188,フェアリーテイルそら,港北区,フェアリーテイルそら 認定こども園 横浜市港北区 日本,
1410052004355,ベイキッズ星の森保育園,港北区,ベイキッズ星の森保育園 認定こども園 横浜市港北区 日本,
1410052005683,ばばほいくしつ綱島,港北区,ばばほいくしつ綱島 認定こども園 横浜市港北区 日本,
1410052005824,preschool ALICE Clover,港北区,preschool ALICE Clover 認定こども園 横浜市港北区 日本,
1410052002912,港北こども園,港北区,港北こども園 認定こども園 横浜市港北区 日本,
1410052002714,キッズパートナー大倉山,港北区,キッズパートナー大倉山 認定こども園 横浜市港北区 日本,
1410052006038,リトルスカラー綱島保育園,港北区,リトルスカラー綱島保育園 認定こども園 横浜市港北区 日本,
1410051025856,大曽根コスモス保育園,港北区,大曽根コスモス保育園 認定こども園 横浜市港北区 日本,
1410051023877,みのわのぞみ保育園,港北区,みのわのぞみ保育園 認定こども園 横浜市港北区 日本,
1410052004686,キッズパートナー綱島,港北区,キッズパートナー綱島 認定こども園 横浜市港北区 日本,
1410051024248,下田みんなの保育園,港北区,下田みんなの保育園 認定こども園 横浜市港北区 日本,
1410052002771,スターチス日吉保育園,港北区,スターチス日吉保育園 認定こども園 横浜市港北区 日本,
1410052004074,日吉チューリップルーム,港北区,日吉チューリップルーム 認定こども園 横浜市港北区 日本,
1410051027233,保育室プリンプリンROOM,港北区,保育室プリンプリンROOM 認定こども園 横浜市港北区 日本,
1410051018281,リトルスカラー妙蓮寺保育園,港北区,リトルスカラー妙蓮寺保育園 認定こども園 横浜市港北区 日本,
1410051027530,キッズフォレ綱島,港北区,キッズフォレ綱島 認定こども園 横浜市港北区 日本,
1410051027928,にじいろ保育園箕輪町,港北区,にじいろ保育園箕輪町 認定こども園 横浜市港北区 日本,
1410051028249,ミアヘルサ保育園ひびき綱島,港北区,ミアヘルサ保育園ひびき綱島 認定こども園 横浜市港北区 日本,
1410051028231,スターチャイルド≪日吉本町駅前ナーサリー≫,港北区,スターチャイルド≪日吉本町駅前ナーサリー≫ 認定こども園 横浜市港北区 日本,
1410052003423,Ｌｕｃｅ陽だまりの家保育園綱島,港北区,Ｌｕｃｅ陽だまりの家保育園綱島 認定こども園 横浜市港北区 日本,
1410052003514,Ｌｕｃｅ陽だまりの家保育園,港北区,Ｌｕｃｅ陽だまりの家保育園 認定こども園 横浜市港北区 日本,
1410051027944,スターチャイルド《日吉本町ナーサリー》,港北区,スターチャイルド《日吉本町ナーサリー》 認定こども園 横浜市港北区 日本,
1410051027548,こどものまち綱島西保育園,港北区,こどものまち綱島西保育園 認定こども園 横浜市港北区 日本,
1410051027589,日吉箕輪えほんの森保育園,港北区,日吉箕輪えほんの森保育園 認定こども園 横浜市港北区 日本,
1410051027605,大倉山きずな保育園,港北区,大倉山きずな保育園 認定こども園 横浜市港北区 日本,
1410051018273,ペガサス夜間保育園,港北区,ペガサス夜間保育園 認定こども園 横浜市港北区 日本,
1410052005261,ルリ保育園日吉,港北区,ルリ保育園日吉 認定こども園 横浜市港北区 日本,
1410051027225,つばき駅前保育園,港北区,つばき駅前保育園 認定こども園 横浜市港北区 日本,
1410052005725,保育室テックテックROOM,港北区,保育室テックテックROOM 認定こども園 横浜市港北区 日本,
1410051019628,くっくおさんぽ保育園ふとお,港北区,くっくおさんぽ保育園ふとお 認定こども園 横浜市港北区 日本,
1410052004470,ジャンプ保育園,港北区,ジャンプ保育園 認定こども園 横浜市港北区 日本,
1410052004058,ローズ保育園,港北区,ローズ保育園 認定こども園 横浜市港北区 日本,
1410052004389,天才キッズクラブ楽遊館綱島園,港北区,天才キッズクラブ楽遊館綱島園 認定こども園 横浜市港北区 日本,
1410051021780,認定こども園高木学園附属幼稚園（保育所部分）,港北区,認定こども園高木学園附属幼稚園 認定こども園 横浜市港北区 日本,
1410051015626,おおつな森の保育園,港北区,おおつな森の保育園 認定こども園 横浜市港北区 日本,
1410052006111,新横浜めぶき保育園,港北区,新横浜めぶき保育園 認定こども園 横浜市港北区 日本,
1410051026854,認定こども園新羽幼稚園（保育所部分）,港北区,認定こども園新羽幼稚園 認定こども園 横浜市港北区 日本,
1410051027316,認定こども園しのはら幼稚園（保育所部分）,港北区,認定こども園しのはら幼稚園 認定こども園 横浜市港北区 日本,
